术语,英文翻译,类别,上下文片段,儿童表达,来源,来源链接,检索日期
春节,Spring Festival,传统节日,中国人庆祝传统新年的社会实践。,families welcome the new year together,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/spring-festival-social-practices-of-the-chinese-people-in-celebration-of-traditional-new-year-02126,2026-07-18
中国剪纸,Chinese paper-cut,传统美术,以剪、刻等技法制作的民间纸艺。,pictures cut from paper,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-paper-cut-00219,2026-07-18
中国书法,Chinese calligraphy,传统美术,以汉字书写体现线条、节奏与审美的艺术。,the art of writing Chinese characters,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/chinese-calligraphy-00216,2026-07-18
中国篆刻,art of Chinese seal engraving,传统美术,在印材上刻制文字与图形的艺术。,carving characters on a seal,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/art-of-chinese-seal-engraving-00217,2026-07-18
中国木版水印技艺,China engraved block printing technique,传统技艺,以雕版、刷墨和印刷完成文字图像复制的技艺。,printing pictures with carved wooden blocks,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/china-engraved-block-printing-technique-00229,2026-07-18
端午节,Dragon Boat festival,传统节日,包含赛龙舟、包粽子等习俗的传统节日。,a festival of dragon boats and rice dumplings,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/dragon-boat-festival-00225,2026-07-18
妈祖信俗,Mazu belief and customs,民俗信仰,围绕妈祖形成的信仰、仪式与社区习俗。,traditions that honour Mazu,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/mazu-belief-and-customs-00227,2026-07-18
京剧,Peking opera,传统戏剧,融合唱、念、做、打的中国戏曲艺术。,a colourful Chinese opera with singing and movement,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/peking-opera-00418,2026-07-18
昆曲,Kun Qu opera,传统戏剧,以细腻唱腔和典雅表演著称的传统戏曲。,an old opera with graceful songs,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/kun-qu-opera-00004,2026-07-18
越剧,Yueju opera,传统戏剧,流行于中国江南地区的传统戏曲。,an opera known for gentle songs and stories,UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/state/china-CN?cp=CN&info=elements-on-the-lists,2026-07-18
藏戏,Tibetan opera,传统戏剧,融合歌舞、说唱和面具表演的传统艺术。,"Tibetan stories told with songs, dances and masks",UNESCO Intangible Cultural Heritage,https://ich.unesco.org/en/RL/tibetan-opera-00208,2026-07-18
