术语,拼音,英文翻译,出处页码,上下文片段,source_row
孔子,kǒngzi,Confucius,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",2
仁者,rénzhě,Person of Benevolence (Ren),1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",3
孟子,mèngzi,Mencius,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",4
性善论,xìngshànlùn,Theory of Innate Goodness,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",5
朱熹,zhūxī,Zhu Xi,1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",6
天理,tiānlǐ,Heavenly Principle (Tianli),1,"从孔子仁者爱人的呼唤，到孟子性善论的阐发，再到朱熹存天理，灭人欲
的推演，儒家始终关注人与社会的秩序",7
家国,jiāguó,Family-State,1,"它倡导修身齐家治国平天下,将个人修养与家国天下紧密相连，
塑造了中国人达则兼济天下，穷则独善其身的品格",8
道家,dàojiā,Daoism (Taoism),1,"1.2 道家：道法自然的无为境界
道家思想，是中国文化的魂魄",9
魂魄,húnpò,Hun and Po,1,"1.2 道家：道法自然的无为境界
道家思想，是中国文化的魂魄",10
老子,lǎozi,Laozi (Lao Tzu),1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",11
人法地，地法天，天法道，道法自然,"rén fǎ dì, dì fǎ tiān, tiān fǎ dào, dào fǎ zì rán‌‌","Man models himself on earth, earth on heaven, heaven on the Way, and the Way on that which is naturally so.",1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之间",12
庄子,zhuāngzi,Zhuangzi (Chuang Tzu),1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",13
梦蝶,mèngdié,Butterfly Dream,1,"老子说人法地，地法天，天法道，道法自然,庄子梦蝶，逍遥于天地之
间",14
天人,tiānrén,Heaven and Man,1,"道家不执着于功利，追求精神的自由与天人的和谐，这份通透与洒脱，给了中国人在乱世中安放
心灵的港湾，也让中国文化始终保有一份灵动与飘逸",15
天人合一,tiānrénhéyī‌‌,Unity of Heaven and Humanity,1,第一章哲学思想：天人合一的东方智慧,16
儒家文化,rújiāwénhuà,Confucian Culture,1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",17
入世,rùshì,Engagement in Worldly Affairs,1,"第一章哲学思想：天人合一的东方智慧
1.1 儒家：仁义礼智的入世情怀
儒家文化，是中国文化的筋骨",18
